attendance,internal,participation,assignment,quiz,midsem,risk
65,23,4,19,17,0,Low
41,14,9,5,19,18,Medium
92,19,3,5,1,6,High
48,23,7,10,7,35,Low
48,20,8,16,12,11,Medium
79,8,6,23,19,19,Low
56,6,1,2,14,22,High
40,17,8,12,19,24,Low
64,5,3,21,8,29,Low
82,21,8,2,2,28,Low
79,17,4,15,2,30,Low
81,8,8,14,1,17,Medium
64,11,1,10,0,18,Medium
78,21,3,17,13,3,Low
74,13,6,14,16,0,Low
42,8,9,4,12,14,High
89,23,2,15,18,7,Low
76,5,1,15,14,14,Medium
83,14,3,16,13,14,Low
83,8,4,8,1,38,Medium
90,13,5,22,6,21,Low
69,17,3,2,16,17,Medium
77,18,2,19,17,15,Medium
73,14,2,12,5,1,Medium
51,10,7,21,7,35,Medium
58,20,9,2,1,19,Medium
76,10,2,6,0,15,High
83,21,7,5,15,2,Medium
98,14,7,8,6,29,Low
98,22,7,11,10,1,Low
88,22,3,14,14,34,Low
56,7,7,20,12,25,Medium
49,24,1,19,1,4,Medium
96,19,1,2,13,1,Medium
94,19,5,9,5,19,Low
88,8,2,0,8,33,Medium
86,13,9,18,6,33,Low
51,23,7,18,17,19,Low
55,21,4,22,8,24,Low
63,15,4,22,3,19,Low
58,13,2,12,8,24,Low
47,14,5,11,3,13,Medium
70,22,4,0,11,38,Low
60,24,1,18,3,11,Medium
56,17,8,23,19,4,Medium
62,12,3,15,13,1,Medium
76,11,6,24,6,15,Medium
93,21,4,22,12,29,Low
55,19,9,22,7,37,Low
45,24,7,14,4,23,Medium
47,19,9,15,11,29,Low
64,5,3,10,12,36,Low
57,18,1,23,19,38,Low
64,9,5,5,13,10,High
51,15,3,10,17,13,Medium
54,20,6,2,19,22,Medium
98,6,8,14,3,15,Medium
65,12,4,0,17,20,Low
80,15,5,6,6,3,Medium
84,22,5,0,14,32,Low
65,7,4,16,5,13,Medium
86,5,4,8,15,18,Medium
71,15,4,22,19,4,Low
49,20,4,12,7,35,Low
55,22,4,10,15,30,Low
46,20,5,19,15,17,Medium
56,14,2,5,2,30,High
62,22,2,0,16,29,Low
65,10,9,6,8,20,Medium
60,23,2,11,2,29,Low
61,8,6,21,19,3,Medium
97,17,2,19,6,4,Medium
46,18,5,22,17,9,Medium
53,7,4,18,11,26,Medium
54,14,7,16,18,15,Medium
92,10,7,3,15,29,Medium
46,5,6,2,16,12,High
48,18,5,0,19,35,Medium
90,12,1,17,14,20,Low
87,23,3,20,0,39,Low
47,18,9,14,1,14,Medium
89,14,1,7,7,19,Medium
98,21,5,0,1,19,Medium
62,13,2,19,18,4,Low
68,10,4,13,8,31,Low
57,15,1,3,8,5,High
70,11,3,4,12,29,Medium
69,21,7,22,5,25,Low
91,5,3,12,14,36,Medium
78,9,4,23,18,12,Medium
74,13,2,14,14,28,Low
57,22,3,5,17,4,High
98,6,9,0,6,24,Medium
81,15,3,22,10,12,Medium
78,10,5,18,7,23,Low
56,12,2,12,5,30,Medium
53,8,4,5,7,19,High
70,22,7,14,1,7,Medium
63,15,7,15,18,8,Low
74,9,3,23,15,20,Low
83,19,5,22,6,19,Low
99,22,1,15,9,14,Low
84,6,1,9,11,25,Medium
73,15,5,21,16,10,Low
42,17,9,8,6,36,Medium
76,8,1,8,7,10,High
82,11,1,16,6,26,Medium
79,15,4,16,3,29,Low
65,8,4,16,2,18,Low
94,19,2,23,18,33,Low
62,5,9,11,14,37,Low
83,7,9,12,3,22,Low
78,18,2,11,8,0,Low
54,10,9,13,12,2,High
95,22,6,9,17,2,Medium
88,5,8,22,15,27,Low
43,10,4,18,0,13,High
68,10,2,1,3,29,High
61,20,2,3,17,4,Medium
64,9,9,18,7,14,Medium
52,21,1,6,19,37,Medium
57,14,7,14,15,13,Medium
72,22,3,14,10,13,Low
55,11,3,23,19,7,High
84,7,2,5,18,7,High
81,17,6,2,18,18,Low
83,19,2,5,17,31,Low
41,24,4,15,18,30,Low
94,23,9,1,10,28,Low
74,7,9,6,2,10,High
81,8,6,10,7,12,Medium
73,9,4,6,19,26,Medium
69,5,7,3,18,18,Medium
98,8,1,23,9,25,Medium
94,16,4,19,15,36,Low
52,14,5,6,4,8,High
52,24,8,3,19,27,Medium
57,17,2,11,8,31,Low
71,18,5,4,7,2,Medium
71,9,6,22,10,31,Low
74,8,5,18,15,4,Medium
98,18,9,4,6,7,Medium
78,14,1,18,14,13,Medium
85,21,3,20,19,2,Medium
91,14,2,2,16,23,Medium
68,11,3,10,5,12,Medium
88,20,9,6,14,28,Low
68,5,9,16,7,7,Medium
92,21,2,24,6,30,Low
83,13,3,8,1,25,Medium
96,10,4,20,12,17,Medium
55,23,9,8,5,17,High
95,17,3,9,4,6,High
83,7,7,12,19,37,Low
86,11,3,14,0,15,High
96,13,7,21,17,32,Low
49,9,7,4,14,2,High
69,14,9,2,9,37,Low
64,21,2,7,2,3,High
78,16,6,19,4,35,Low
59,20,9,9,12,3,Medium
44,7,2,12,7,8,High
40,13,2,2,1,39,Medium
69,19,5,21,8,16,Low
88,9,8,7,16,16,High
42,17,9,8,17,32,Medium
84,18,2,21,12,19,Low
53,24,5,20,0,13,Medium
95,19,7,11,11,21,Low
69,20,6,10,19,26,Low
89,17,6,1,19,2,Medium
43,21,7,17,4,23,Low
57,12,3,8,7,29,Medium
76,6,3,1,14,7,High
64,9,9,1,2,21,Medium
87,10,8,2,5,24,Medium
40,16,5,15,12,9,Medium
92,22,6,18,11,28,Low
85,5,1,3,18,39,Medium
54,21,1,22,17,0,Medium
48,15,4,24,0,20,Medium
54,14,2,17,6,38,Medium
88,23,7,19,11,23,Low
96,18,2,24,9,8,Medium
63,14,2,17,11,25,Low
43,19,5,9,10,8,Medium
51,23,4,10,3,19,Medium
98,8,8,16,18,34,Low
97,6,4,23,5,35,Low
76,13,6,24,8,35,Low
76,14,5,22,19,8,Low
82,15,2,23,9,21,Low
99,18,8,19,4,0,Medium
45,11,2,15,12,4,High
78,19,9,19,8,8,Low
95,23,9,12,1,36,Low
85,19,3,1,17,37,Low
63,12,4,23,0,18,Low
50,15,8,1,11,7,Medium
52,13,9,24,9,31,Low
73,19,3,13,1,12,Medium
64,5,5,3,8,19,Medium
46,5,8,16,1,35,Medium
91,23,3,12,13,36,Low
43,7,7,3,10,29,Medium
98,14,8,2,10,9,Medium
47,12,3,11,16,30,Medium
59,19,2,21,3,24,Medium
68,14,7,22,12,28,Low
93,5,9,7,6,23,Medium
92,22,1,1,15,38,Low
90,6,3,5,0,20,Medium
84,23,5,21,12,8,Low
85,17,3,9,0,1,High
49,5,1,11,10,3,High
82,6,7,20,5,7,Medium
73,20,7,9,19,31,Low
96,19,8,9,2,13,Medium
65,17,5,22,11,12,Low
80,20,5,2,4,20,Medium
88,21,5,19,8,23,Low
97,11,1,9,11,17,High
42,21,5,8,9,39,Medium
95,11,6,19,18,25,Low
45,17,1,18,4,31,Medium
44,9,7,13,4,32,Medium
44,21,1,1,8,30,Medium
93,7,2,4,19,17,High
86,11,2,19,16,34,Low
62,21,5,7,9,11,Medium
88,11,7,6,0,24,Medium
48,5,1,5,15,30,High
74,21,1,10,14,9,Low
59,21,1,11,16,33,Low
97,15,6,17,19,2,Low
88,7,2,18,12,38,Medium
98,19,1,9,0,7,High
81,15,6,24,7,31,Low
74,20,2,24,4,28,Low
89,13,6,20,5,21,Low
57,5,8,13,19,19,Medium
56,20,2,2,13,5,High
63,13,9,17,10,28,Low
42,23,8,23,5,16,Medium
71,16,1,14,10,30,Low
74,23,7,5,12,33,Low
77,13,6,9,11,37,Low
52,11,6,11,1,36,Medium
95,18,6,6,2,3,Medium
86,23,6,16,3,1,Medium
64,23,7,0,16,11,Medium
48,6,3,17,5,34,Medium
43,13,6,14,6,5,Medium
53,17,3,18,14,7,Medium
76,19,7,0,10,20,Low
73,7,7,4,2,34,Medium
50,15,8,14,5,14,Medium
80,18,2,2,1,6,High
95,12,9,0,13,14,Medium
42,22,5,7,8,5,High
98,23,9,11,17,16,Low
67,20,5,21,18,3,Low
68,6,7,24,11,21,Low
48,12,9,18,12,31,Low
42,10,4,24,11,21,Medium
64,16,2,24,11,26,Low
73,19,9,11,17,14,Low
51,12,2,12,8,21,Low
81,8,3,0,16,27,Medium
48,19,2,18,15,37,Low
54,24,3,5,16,8,High
79,21,6,7,7,33,Low
64,17,3,3,10,35,Low
44,22,8,4,1,8,High
50,6,6,24,7,14,High
98,17,7,21,11,19,Low
73,17,1,6,0,7,Medium
63,19,3,22,12,27,Low
99,24,3,3,16,18,Medium
54,14,2,19,13,15,Medium
77,7,7,3,13,10,High
47,23,9,14,15,7,Medium
98,7,4,20,16,32,Low
44,18,5,4,5,9,High
87,12,3,23,6,17,Medium
65,8,9,8,0,34,Medium
57,24,4,1,14,2,Medium
45,15,5,6,19,39,Medium
76,15,1,16,17,26,Low
99,15,2,15,12,27,Low
87,6,9,16,1,5,Medium
52,21,2,19,18,13,Medium
67,13,5,22,14,6,Low
44,6,8,1,11,9,High
52,19,3,10,14,14,Medium
56,20,6,1,17,30,Medium
89,8,4,0,13,28,Medium
79,12,7,1,5,16,Medium
84,13,3,22,11,28,Low
71,9,6,8,19,14,High
68,20,9,21,5,25,Low
90,17,1,1,8,11,Medium
97,11,3,14,3,24,Medium
42,24,2,9,16,4,High
95,21,8,14,1,3,Low
79,7,7,9,15,30,Medium
73,9,2,24,13,2,Medium
79,23,6,22,7,2,Medium
66,16,3,16,13,25,Low
52,11,8,8,1,16,High
84,13,3,17,15,9,Low
72,10,9,3,3,1,High
45,21,1,8,0,23,High
63,20,5,15,19,10,Low
58,7,3,3,13,23,High
55,8,6,15,7,34,Medium
79,14,2,18,2,22,Low
67,9,9,0,4,31,Medium
72,14,6,22,5,22,Low
98,16,7,5,7,33,Low
98,14,5,9,5,18,Medium
87,17,9,15,5,1,Low
80,15,1,3,3,1,High
52,20,5,21,6,14,Medium
82,12,6,21,18,20,Low
84,12,7,12,6,34,Low
64,12,4,15,2,4,Medium
92,17,1,19,7,26,Low
81,6,8,5,0,23,Medium
75,16,4,10,0,6,Low
66,14,3,23,13,5,Low
77,16,7,2,5,32,Low
99,15,2,19,9,16,Medium
46,19,8,9,13,29,Medium
44,20,6,0,3,7,High
82,21,7,19,5,39,Low
84,6,5,10,15,6,Medium
97,22,9,11,0,5,Medium
96,16,5,13,5,3,Medium
90,23,5,24,8,0,Low
70,22,3,7,14,14,Medium
62,21,1,10,11,30,Low
81,10,2,3,2,24,High
49,19,8,6,10,32,Medium
71,7,1,9,14,34,Medium
82,10,7,18,2,4,Medium
92,7,5,24,13,4,Medium
69,5,3,3,1,35,High
78,17,7,1,3,16,Medium
70,18,9,20,18,13,Low
57,17,2,17,11,28,Low
75,8,8,13,1,7,Medium
41,11,9,15,16,33,Medium
53,14,3,21,2,39,Medium
52,11,2,10,9,0,High
68,19,7,9,15,28,Low
51,19,5,16,8,35,Low
78,8,5,13,10,36,Low
41,10,5,21,14,28,Medium
71,24,4,3,2,4,Medium
52,9,5,18,15,31,Medium
85,24,4,1,11,23,Low
66,16,6,6,4,18,Medium
88,5,4,8,6,11,High
80,12,2,18,8,0,Medium
56,5,9,15,17,6,Medium
79,9,2,21,7,16,Medium
70,10,9,24,11,33,Low
73,7,6,15,19,6,Medium
99,19,9,17,1,16,Medium
63,9,9,22,9,2,Medium
84,18,3,20,18,28,Low
74,22,1,20,8,21,Low
87,20,1,10,7,37,Low
45,10,3,6,0,28,High
58,18,5,8,5,4,High
69,12,3,3,11,29,Low
46,11,9,24,18,22,Medium
49,12,9,12,16,20,Low
80,17,3,24,1,25,Low
71,10,3,3,10,20,Medium
73,22,5,18,17,19,Low
67,6,2,1,10,22,Medium
99,12,6,8,17,3,Medium
54,15,7,11,7,20,Low
69,5,9,1,14,20,Medium
76,10,6,5,8,0,High
68,20,3,4,14,14,Medium
61,24,5,4,6,16,Medium
43,16,4,19,19,13,Medium
59,15,5,21,12,18,Low
71,14,8,4,12,33,Low
75,7,8,3,0,5,High
89,17,6,8,19,5,Medium
43,7,1,21,3,4,High
66,19,8,9,3,6,Medium
56,20,8,15,3,32,Low
51,17,2,9,12,12,High
61,21,4,9,1,0,Medium
56,7,2,18,14,12,High
49,24,4,9,3,26,Medium
93,15,7,5,5,6,Medium
40,23,9,16,2,2,Medium
61,15,8,4,6,24,Low
65,20,9,5,5,32,Medium
95,7,8,23,2,39,Medium
98,10,2,14,3,16,High
57,18,7,24,9,13,Medium
89,22,2,18,8,36,Low
53,21,2,17,5,22,Medium
86,8,4,3,19,23,Medium
68,19,1,7,10,28,Medium
51,15,5,15,6,37,Low
75,7,6,23,17,26,Low
98,7,9,18,3,37,Medium
74,20,8,19,4,39,Low
91,9,2,2,3,22,High
51,14,1,9,3,30,Medium
46,23,2,1,12,35,Medium
68,8,7,3,15,16,High
50,23,4,5,13,36,Medium
72,15,5,10,10,2,Low
45,6,7,13,1,35,Medium
86,14,3,15,13,4,Low
54,15,2,20,6,14,High
71,24,7,18,10,5,Low
90,20,5,1,3,9,Medium
50,23,1,24,6,31,Medium
97,15,1,16,15,22,Low
62,18,9,8,5,16,Medium
65,6,5,16,5,19,Low
73,9,1,14,1,14,Medium
85,9,7,6,7,21,Medium
73,23,9,21,6,5,Medium
68,16,1,22,13,3,Low
43,22,4,18,8,22,Low
56,8,3,2,14,18,High
74,21,5,0,17,30,Low
52,14,7,3,11,2,High
80,24,8,17,18,27,Low
78,10,2,7,12,2,High
54,18,7,18,6,13,Medium
94,15,1,22,9,17,Low
68,15,7,22,9,26,Low
68,22,8,24,1,9,Low
50,22,2,5,13,14,High
91,15,9,0,12,18,Low
71,16,1,7,5,8,High
41,9,6,0,8,3,High
86,13,1,18,12,14,Medium
53,13,3,10,8,7,Medium
59,14,6,20,12,0,Medium
61,23,3,23,4,6,Medium
50,5,8,24,13,30,Medium
66,11,5,14,4,17,Medium
42,8,2,22,8,11,High
56,5,4,24,7,29,Medium
83,19,9,10,6,32,Low
95,12,4,18,7,6,Medium
67,16,8,20,2,27,Low
68,22,5,9,14,2,Medium
60,19,1,23,7,5,Medium
86,21,7,11,0,30,Low
55,18,3,0,6,37,High
76,18,8,23,18,14,Low
98,22,3,6,1,6,High
59,24,1,16,13,29,Medium
45,22,5,9,17,26,Medium
58,20,2,5,14,16,High
96,5,4,16,13,17,Medium
44,15,1,17,18,21,Medium
42,19,9,4,18,25,Medium
98,16,6,17,16,26,Low
40,12,8,16,18,39,Low
97,24,4,21,15,23,Low
99,10,9,15,19,7,Medium
77,7,2,7,18,20,Medium
54,17,9,23,0,28,Medium
73,17,5,12,18,20,Low
74,6,6,23,6,2,Medium
88,9,3,15,10,30,Medium
64,21,4,10,4,26,Low
63,10,6,5,16,26,Medium
51,6,7,2,10,8,High
57,8,1,0,7,32,High
54,15,7,17,9,32,Low
83,12,1,4,11,25,Low
55,16,5,12,9,27,Low
66,12,6,9,12,30,Low
47,15,2,4,17,0,High
99,24,9,13,9,19,Low
85,12,6,16,18,11,Low
64,12,7,0,19,16,Medium
56,21,8,24,16,14,Medium
68,24,1,1,19,33,Medium
92,24,8,6,15,15,Medium
47,20,4,9,4,3,High
54,18,8,19,2,7,Medium
66,15,6,6,14,33,Low
85,11,9,23,1,24,Medium
89,20,4,15,12,14,Low
91,17,2,4,7,27,Medium
46,19,2,11,16,8,Medium
42,20,5,16,3,1,Medium
68,13,9,15,18,16,Low
83,7,3,19,8,9,Medium
92,23,8,15,14,8,Low
63,24,4,18,8,30,Low
99,9,6,14,8,1,Medium
97,14,6,11,13,23,Low
42,21,3,20,15,18,Low
59,19,5,9,16,16,High
85,12,3,21,12,9,Medium
54,19,1,1,8,27,Medium
64,18,7,6,14,37,Low
69,24,4,12,6,27,Low
53,11,7,2,0,0,High
46,16,3,14,0,2,High
56,21,5,0,4,14,High
83,21,5,2,8,9,Medium
59,14,2,24,11,20,Low
75,23,2,9,5,36,Medium
48,18,4,14,12,14,Medium
77,15,4,21,7,22,Low
87,6,4,5,14,13,High
96,22,6,19,5,14,Medium
99,11,2,14,5,9,High
61,16,6,23,3,8,Low
93,6,7,20,10,38,Low
92,24,3,6,17,4,Medium
92,22,8,24,2,24,Low
41,10,2,20,2,25,High
63,14,8,4,11,7,Medium
47,24,5,3,5,21,Medium
50,19,2,21,5,24,Medium
52,9,7,17,7,11,High
56,24,2,2,14,8,High
47,7,6,16,17,9,Medium
60,9,3,17,19,9,Medium
57,12,9,17,15,8,Medium
69,12,3,23,5,25,Low
57,12,3,23,16,34,Low
85,16,5,1,8,26,Low
86,12,7,12,18,30,Low
70,15,8,21,17,18,Low
77,18,7,14,4,37,Low
71,12,9,4,5,5,Medium
50,14,5,2,11,14,Medium
84,11,3,4,10,28,Medium
64,21,6,4,15,4,Medium
72,8,5,4,19,13,Medium
99,17,4,2,16,1,Medium
77,8,2,2,19,22,Medium
80,9,7,19,8,18,Low
47,8,5,22,0,23,Medium
50,22,4,17,2,19,Low
61,10,8,19,8,26,Low
90,6,9,3,18,23,Medium
63,15,9,0,12,16,Medium
80,18,3,15,13,24,Low
56,9,3,7,19,30,High
51,10,5,16,18,27,Medium
96,14,5,7,6,27,Medium
85,12,2,6,3,21,Medium
71,18,1,24,11,4,Low
54,7,8,7,13,7,High
55,16,3,20,1,37,Medium
93,20,1,23,0,27,Low
61,21,1,11,17,11,Low
67,5,2,15,19,24,Low
59,14,6,11,7,37,Low
72,14,6,18,2,14,Medium
49,6,3,9,5,33,High
79,13,4,6,12,12,Medium
71,17,2,11,8,7,Medium
89,20,2,19,8,12,Medium
99,22,7,4,19,35,Low
72,23,1,15,8,5,Medium
41,16,7,8,14,37,Medium
72,12,1,6,12,31,Medium
72,21,6,19,15,20,Low
80,19,3,21,1,6,Medium
52,14,8,13,13,25,Low
69,19,6,10,5,14,Medium
72,19,2,6,1,22,Medium
52,11,8,9,7,37,High
91,17,5,8,3,14,Medium
65,21,8,3,13,39,Low
61,13,8,15,10,15,Low
78,12,6,9,13,31,Low
41,24,2,18,11,36,Low
77,22,8,23,15,17,Low
78,17,6,16,5,19,Low
65,20,6,8,19,1,Medium
85,13,8,12,0,22,Low
97,16,1,0,11,29,Low
89,16,2,1,6,2,Medium
54,10,9,12,7,38,Medium
73,23,8,23,8,0,Low
81,11,7,8,1,21,Medium
94,7,7,6,16,28,Medium
83,20,5,15,19,13,Low
88,22,2,18,12,27,Low
79,20,6,6,4,20,Low
50,11,3,5,9,31,High
42,8,4,17,11,5,High
98,12,2,18,16,0,Low
45,17,2,10,5,20,Medium
48,17,8,11,2,3,Medium
45,21,8,9,14,2,High
48,21,6,12,6,29,Low
78,9,5,11,5,30,Medium
70,10,8,20,3,33,Low
71,23,4,9,18,18,Low
80,17,4,19,4,19,Low
89,18,5,17,2,22,Low
51,8,1,3,8,39,High
47,11,1,23,5,24,High
47,12,2,4,12,14,High
89,17,8,4,19,37,Low
67,10,7,11,3,22,Low
59,10,9,2,1,1,High
86,7,5,7,3,14,High
98,7,2,21,7,34,Medium
46,17,7,1,12,9,Medium
50,6,8,17,9,13,High
59,20,7,8,17,26,Medium
55,10,7,12,8,13,High
43,12,5,6,0,34,Medium
45,12,2,9,12,32,Medium
97,10,6,8,17,0,Medium
61,18,4,21,14,33,Low
65,7,2,14,1,18,Medium
42,14,9,4,10,23,Medium
80,7,7,11,13,3,Medium
99,16,6,0,14,35,Low
81,21,5,11,13,12,Low
53,9,3,21,15,31,Medium
50,24,4,5,14,8,High
57,13,3,18,18,38,Medium
93,24,8,18,8,15,Low
51,11,3,15,4,2,High
62,8,7,18,4,19,Low
51,17,7,2,10,9,Medium
52,17,7,22,19,21,Low
64,14,7,9,3,2,Medium
84,22,2,17,19,10,Medium
90,21,3,12,17,24,Low
97,24,9,17,2,7,Low
58,24,3,2,3,8,High
94,17,2,22,13,14,Low
85,21,9,2,6,31,Medium
75,8,9,22,7,2,Medium
84,5,4,24,15,3,Medium
47,5,9,11,19,29,Medium
68,19,3,19,14,12,Low
94,17,7,6,6,20,Low
92,21,7,24,16,18,Low
94,12,8,23,11,38,Low
71,22,4,7,17,21,Low
90,17,3,8,13,19,Medium
83,18,3,13,14,36,Low
57,12,5,4,14,30,Medium
45,12,1,20,4,9,High
57,19,3,18,15,17,Medium
58,17,6,20,4,38,Medium
61,11,3,15,1,19,Medium
76,9,5,23,19,17,Medium
71,21,9,11,8,10,Low
95,20,2,20,8,21,Low
80,6,2,3,3,17,High
98,22,6,7,14,33,Low
42,21,6,6,10,22,Medium
67,11,8,14,0,0,Medium
49,17,2,5,17,9,High
90,22,9,4,0,0,Medium
74,18,2,13,7,37,Low
68,22,1,20,15,38,Low
93,17,2,12,17,8,Medium
54,15,7,9,8,30,Medium
72,20,8,17,11,6,Low
46,21,5,3,18,16,Medium
51,12,6,7,17,34,Medium
88,23,1,23,4,36,Low
69,24,6,10,1,17,Low
60,19,8,16,6,32,Low
70,13,3,17,9,3,Low
97,24,1,20,14,22,Low
63,14,4,24,6,10,Medium
59,16,1,10,4,8,Medium
76,24,8,15,14,29,Low
43,5,5,11,19,7,Medium
67,24,1,12,19,39,Low
83,13,8,15,14,4,Low
59,19,9,22,9,11,Medium
99,5,2,20,13,0,Medium
63,16,9,0,9,14,Medium
89,7,8,15,16,24,Low
88,15,7,14,13,17,Low
90,6,3,5,1,37,High
71,20,2,11,15,25,Low
80,13,7,7,12,39,Low
75,19,5,6,8,2,Medium
97,16,6,1,6,21,Medium
92,5,4,11,15,25,Low
73,17,2,20,9,18,Low
75,18,9,13,8,38,Low
41,12,3,15,6,35,Medium
54,12,7,10,15,20,Low
73,16,8,19,8,25,Low
75,5,2,8,16,12,High
45,15,6,9,19,35,Medium
78,12,8,16,6,23,Low
81,14,7,11,10,25,Low
90,23,3,5,7,20,Medium
90,15,1,18,6,17,Medium
97,11,6,10,18,14,Medium
93,15,8,8,19,14,Medium
51,21,6,20,11,5,Medium
42,5,5,5,6,30,High
84,12,8,24,7,27,Low
57,10,2,24,6,7,High
79,22,1,23,5,28,Low
60,10,1,24,8,20,Low
54,9,4,15,12,16,High
72,17,6,19,6,23,Low
74,23,9,15,7,35,Low
65,12,1,5,16,30,Medium
47,13,1,4,16,33,Medium
75,21,5,20,15,1,Low
87,7,5,3,1,2,High
69,23,5,1,7,29,Medium
62,15,6,5,16,7,Medium
81,21,8,8,12,6,Medium
83,23,3,16,17,11,Medium
53,6,9,13,9,18,Medium
53,12,1,6,1,25,Medium
41,23,4,21,1,27,Low
94,11,9,18,13,14,Medium
76,21,8,0,15,13,Medium
44,10,9,19,6,13,High
77,23,1,24,11,2,Medium
84,10,9,14,13,28,Low
80,6,3,17,3,5,High
93,10,9,2,3,22,Medium
99,9,1,17,17,27,Low
86,23,1,1,2,13,High
53,24,9,9,0,13,High
95,8,6,10,16,19,Low
78,21,4,23,6,12,Medium
64,15,7,2,15,26,Low
59,8,5,6,4,34,High
41,17,7,7,18,1,Medium
78,24,8,18,6,39,Low
45,21,8,17,13,23,Low
56,13,1,12,1,28,Medium
98,8,8,12,2,2,Medium
64,18,6,23,16,3,Low
96,23,4,18,15,1,Low
67,7,8,22,7,19,Medium
41,18,3,11,17,14,Medium
74,12,4,16,14,31,Low
76,5,6,21,6,0,Medium
44,14,7,11,8,37,Low
40,22,4,12,5,34,Low
79,20,4,24,17,6,Low
51,12,7,11,17,12,Medium
95,5,6,18,13,0,Medium
75,16,8,13,13,13,Low
84,12,1,6,13,28,Medium
62,20,7,12,3,2,Medium
86,22,7,5,3,23,Low
70,8,7,23,14,0,Medium
50,10,7,18,14,9,High
49,16,8,18,17,12,Medium
42,13,9,3,13,35,Medium
93,19,9,18,0,8,Medium
53,20,2,8,9,13,High
55,16,7,15,19,35,Low
49,18,7,3,9,9,Medium
68,17,4,5,9,39,Low
49,6,9,7,1,22,High
51,7,8,23,7,34,Medium
69,14,1,15,0,6,Medium
80,13,2,4,0,34,Medium
40,24,2,20,3,1,High
44,12,8,21,6,14,Medium
59,14,1,9,8,8,High
47,23,4,22,15,16,Medium
82,7,5,12,4,38,Low
51,9,9,13,1,17,High
40,7,7,6,10,14,High
96,20,8,19,17,17,Low
93,21,9,5,18,23,Low
59,19,7,6,12,22,Medium
67,7,5,4,10,11,High
96,16,5,20,19,22,Low
82,13,6,17,18,20,Low
76,16,5,22,16,25,Low
86,19,9,11,4,7,Medium
76,6,3,5,12,29,Medium
51,22,3,0,19,33,Medium
76,24,7,3,0,1,Medium
88,16,7,18,9,4,Low
88,8,6,11,7,30,Low
95,20,3,14,7,32,Low
83,20,7,2,18,3,Medium
95,5,5,22,5,5,Medium
67,6,7,19,11,22,Low
86,7,2,7,6,18,High
54,24,6,10,15,7,Medium
45,21,8,15,8,38,Low
83,24,1,8,9,12,Medium
98,5,4,2,9,0,Medium
59,24,1,4,9,5,High
89,10,1,19,19,6,Medium
53,19,8,13,15,26,Low
41,18,7,14,0,14,Medium
48,24,1,5,16,33,Medium
76,19,2,3,13,22,Low
59,18,4,7,18,23,Medium
65,9,1,18,16,14,Medium
68,10,3,4,13,34,Medium
40,21,8,12,7,3,Medium
94,15,8,15,8,36,Low
74,20,8,0,7,16,Medium
45,16,6,12,12,30,Low
76,19,6,21,16,37,Low
92,8,5,10,18,9,Medium
98,22,9,20,6,26,Low
44,7,4,7,16,5,High
72,12,7,24,0,5,Medium
88,7,1,7,4,14,High
90,12,9,23,5,3,Low
53,22,7,13,1,39,Medium
51,14,9,12,15,6,Medium
81,24,7,2,4,25,Medium
59,21,2,3,4,30,Medium
92,12,6,19,11,1,Low
89,15,4,14,2,27,Low
63,9,3,14,15,12,Medium
98,17,2,20,5,17,Medium
82,9,6,12,14,29,Low
73,17,8,8,14,10,Medium
64,10,6,24,15,12,Medium
89,9,9,9,19,23,Medium
68,13,5,11,12,28,Low
96,20,2,13,11,4,Medium
78,6,8,0,9,34,Medium
70,5,9,13,13,18,Low
95,12,4,13,1,12,Medium
86,23,6,7,2,4,Medium
82,15,8,15,8,13,Low
89,16,9,13,10,37,Low
62,16,5,0,10,21,Low
83,11,6,15,9,8,Medium
77,17,4,17,13,39,Low
59,12,5,6,8,25,Medium
62,13,7,14,19,4,Low
84,11,9,23,9,28,Low
91,19,6,16,8,21,Low
55,6,6,18,4,2,High
89,24,8,22,7,27,Low
81,16,4,12,10,37,Low
99,5,3,8,0,13,High
94,12,7,23,9,13,Low
47,9,5,23,0,10,High
89,19,2,14,6,8,Medium
60,5,2,24,13,37,Medium
40,5,6,2,4,5,High
94,14,8,23,16,0,Low
47,14,1,0,5,24,High
68,19,6,15,15,15,Low
71,21,2,7,10,14,Medium
77,10,2,22,9,33,Low
44,7,7,12,14,16,Medium
86,17,1,7,6,2,Medium
61,20,6,16,1,2,Low
86,12,7,21,11,36,Low
73,19,8,22,18,16,Low
40,21,7,13,11,37,Low
94,21,6,20,15,0,Low
94,17,9,20,5,6,Medium
65,21,3,6,2,25,Medium
82,10,6,14,1,38,Medium
49,21,4,15,19,18,Low
69,20,2,18,4,29,Low
89,18,1,5,10,13,Medium
57,17,1,22,2,12,Medium
56,10,3,0,2,19,High
65,7,4,11,4,25,Low
47,18,2,17,10,26,Low
86,18,1,15,2,24,Low
79,19,4,11,12,8,Low
88,12,7,19,7,11,Medium
51,19,6,12,19,9,Medium
66,17,6,7,9,5,Medium
47,21,9,21,1,33,Low
64,7,2,0,3,18,Medium
85,10,4,20,17,5,Medium
43,9,5,6,18,1,High
72,21,1,14,3,14,Medium
40,6,8,21,19,16,Medium
58,19,8,12,8,15,Medium
70,9,6,12,15,27,Low
55,24,5,8,5,20,Medium
53,10,8,23,3,7,High
92,10,3,14,8,9,Medium
87,22,3,3,12,9,Medium
44,22,2,12,8,9,Medium
80,8,5,11,5,8,Medium
65,21,3,4,18,27,Low
67,18,3,6,13,23,Medium
